dTime;Accel_X;Accel_Y;Accel_Z;Gyro_X;Gyro_Y;Gyro_Z;Mag_X;Mag_Y;Mag_Z;q1;q2;q3;q4
[s];[m/s^2];[m/s^2];[m/s^2];[rad/s];[rad/s];[rad/s];[uT];[uT];[uT];[-];[-];[-];[-]

6.210001;-0.062500;-0.160156;9.835938;0.000000;0.000000;0.001953;-3.625000;18.625000;-40.125000;-0.007507;0.004028;0.000000;0.999939
6.211000;-0.062500;-0.160156;9.835938;0.000000;0.000000;0.001953;-3.625000;18.625000;-40.125000;-0.007507;0.004028;0.000000;0.999939
6.219999;-0.101563;-0.160156;9.871094;0.000000;0.000000;0.001953;-2.875000;18.625000;-39.312500;-0.007507;0.004028;0.000000;0.999939
6.221998;-0.101563;-0.160156;9.871094;0.000000;0.000000;0.001953;-2.875000;18.625000;-39.312500;-0.007507;0.004028;0.000000;0.999939
6.222998;-0.101563;-0.160156;9.871094;0.000000;0.000000;0.001953;-2.875000;18.625000;-39.312500;-0.007507;0.004028;0.000000;0.999939
6.224001;-0.101563;-0.160156;9.871094;0.000000;0.000000;0.001953;-2.875000;18.625000;-39.312500;-0.007507;0.004028;0.000000;0.999939
6.226000;-0.101563;-0.160156;9.871094;0.000000;0.000000;0.001953;-2.875000;18.625000;-39.312500;-0.007507;0.004028;0.000000;0.999939
6.226999;-0.101563;-0.160156;9.871094;0.000000;0.000000;0.001953;-2.875000;18.625000;-39.312500;-0.007507;0.004028;0.000000;0.999939
6.227999;-0.101563;-0.160156;9.871094;0.000000;0.000000;0.001953;-2.875000;18.625000;-39.312500;-0.007507;0.004028;0.000000;0.999939
6.252001;-0.062500;-0.160156;9.871094;0.000000;-0.001953;0.000000;-2.875000;18.625000;-39.312500;-0.007507;0.004028;0.000000;0.999939
6.264997;-0.062500;-0.160156;9.871094;0.000000;-0.001953;0.000000;-3.250000;20.062500;-40.562500;-0.007507;0.004028;0.000000;0.999939
6.284998;-0.062500;-0.121094;9.835938;0.000000;-0.001953;0.000000;-3.250000;20.062500;-40.562500;-0.007507;0.004028;0.000000;0.999939
6.316000;-0.101563;-0.121094;9.871094;-0.001953;0.000000;0.000000;-3.625000;19.000000;-39.312500;-0.007568;0.004028;0.000000;0.999939
6.332998;-0.101563;-0.121094;9.871094;-0.001953;0.000000;0.000000;-3.625000;19.000000;-39.312500;-0.007568;0.004028;0.000000;0.999939
6.365999;-0.062500;-0.160156;9.871094;-0.001953;0.001953;-0.001953;-3.250000;20.062500;-39.312500;-0.007568;0.004028;0.000000;0.999939
6.372999;-0.062500;-0.160156;9.871094;-0.001953;0.001953;-0.001953;-3.250000;20.062500;-39.312500;-0.007568;0.004028;0.000000;0.999939
6.402998;-0.062500;-0.160156;9.871094;0.000000;0.000000;0.000000;-3.250000;20.062500;-39.312500;-0.007568;0.003967;-0.000061;0.999939
6.418001;-0.101563;-0.160156;9.871094;0.000000;0.000000;0.000000;-4.000000;19.000000;-39.750000;-0.007568;0.003967;-0.000061;0.999939
6.432001;-0.101563;-0.160156;9.871094;0.000000;0.000000;0.000000;-4.000000;19.000000;-39.750000;-0.007568;0.003967;-0.000061;0.999939
6.468000;-0.062500;-0.160156;9.871094;0.000000;-0.001953;0.001953;-3.625000;18.625000;-40.125000;-0.007568;0.003967;0.000000;0.999939
6.482000;-0.062500;-0.160156;9.871094;0.000000;-0.001953;0.001953;-3.625000;18.625000;-40.125000;-0.007568;0.003967;0.000000;0.999939
6.516001;-0.062500;-0.160156;9.871094;0.003906;0.007813;0.001953;-2.500000;18.625000;-38.500000;-0.007568;0.003967;0.000000;0.999939
6.522001;-0.062500;-0.160156;9.871094;0.003906;0.007813;0.001953;-2.500000;18.625000;-38.500000;-0.007568;0.003967;0.000000;0.999939
6.552999;-0.101563;-0.121094;9.871094;0.000000;0.001953;0.000000;-2.500000;18.625000;-38.500000;-0.007629;0.003906;0.000000;0.999939
6.567999;-0.062500;-0.121094;9.871094;0.000000;0.001953;0.000000;-2.875000;18.625000;-38.500000;-0.007629;0.003906;0.000000;0.999939
6.582998;-0.062500;-0.121094;9.871094;0.000000;0.001953;0.000000;-2.875000;18.625000;-38.500000;-0.007629;0.003906;0.000000;0.999939
6.615999;-0.062500;-0.121094;9.871094;0.000000;0.000000;0.001953;-2.875000;19.312500;-40.125000;-0.007629;0.003967;0.000000;0.999939
6.622999;-0.062500;-0.121094;9.871094;0.000000;0.000000;0.001953;-2.875000;19.312500;-40.125000;-0.007629;0.003967;0.000000;0.999939
6.652998;-0.062500;-0.160156;9.871094;0.005859;0.000000;-0.001953;-2.875000;19.312500;-40.125000;-0.007690;0.003967;0.000000;0.999939
6.677000;-0.101563;-0.121094;9.871094;0.005859;0.000000;-0.001953;-2.500000;19.312500;-39.375000;-0.007690;0.003967;0.000000;0.999939
6.703001;-0.062500;-0.121094;9.871094;0.000000;0.000000;0.001953;-2.500000;19.312500;-39.375000;-0.007690;0.003906;0.000061;0.999939
